date,row,commit,comparedTo,packages added,packages removed,dependency added,dependency removed,class moved,number of packages added,number of packages removed,number of dependencies added,number of dependencies removed,number of moved classes,number of packages,number of dependencies,MTO,A0,A2A,A2A Copy,gap,issueId,prNumber
2011-07-22,18,a0dd7e7490bf8e68f767495e310caf2dfb2a77e6,bb29ce94923734e31e70e768fcb9fa0b82b6cbcf,"[]","[]","[]","[]","[]",0,0,0,0,0,8,14,=J19+K19+L19+M19+N19,=O19+P19,=((Q19/(R19+R18)))*100,,1,,"[]"
2011-07-22,19,43f9e2f2b07c0e143de6ea011c448cfc81ec3003,a0dd7e7490bf8e68f767495e310caf2dfb2a77e6,"[]","[]","[{name:org.apache.hadoop.sqoop.hive,added:[org.apache.hadoop.sqoop]}]","[]","[]",0,0,1,0,0,8,15,=J20+K20+L20+M20+N20,=O20+P20,=((Q20/(R20+R19)))*100,,2,,"[]"
2011-07-22,20,8147d262d8ebb6b55e015d2e1f90adff4d2bbb30,43f9e2f2b07c0e143de6ea011c448cfc81ec3003,"[]","[]","[]","[]","[]",0,0,0,0,0,8,15,=J21+K21+L21+M21+N21,=O21+P21,=((Q21/(R21+R20)))*100,,2,,"[]"
2011-07-22,21,0fde7dff8d920432b90cfa06209ceddfb5acc055,8147d262d8ebb6b55e015d2e1f90adff4d2bbb30,"[]","[]","[]","[]","[]",0,0,0,0,0,8,15,=J22+K22+L22+M22+N22,=O22+P22,=((Q22/(R22+R21)))*100,,3,,"[]"
2011-07-22,22,db68b92108ccbf9311846767234b282955eebf95,0fde7dff8d920432b90cfa06209ceddfb5acc055,"[]","[]","[]","[]","[]",0,0,0,0,0,8,15,=J23+K23+L23+M23+N23,=O23+P23,=((Q23/(R23+R22)))*100,,2,,"[]"
2011-07-22,23,9a7dcdeafb74026f715094cf5790235ff1f2c0f1,db68b92108ccbf9311846767234b282955eebf95,"[org.apache.hadoop.sqoop.shims]","[]","[{name:org.apache.hadoop.sqoop.manager,added:[org.apache.hadoop.sqoop.shims]},{name:org.apache.hadoop.sqoop.mapreduce,added:[org.apache.hadoop.sqoop.shims]},{name:org.apache.hadoop.sqoop,added:[org.apache.hadoop.sqoop.shims]}]","[]","[]",1,0,3,0,0,9,18,=J24+K24+L24+M24+N24,=O24+P24,=((Q24/(R24+R23)))*100,,2,,"[]"
2011-07-22,24,c05f1c3710dbaa6c6b7399efa28bb8cabe79c1e0,9a7dcdeafb74026f715094cf5790235ff1f2c0f1,"[]","[]","[{name:org.apache.hadoop.sqoop.orm,added:[org.apache.hadoop.sqoop.shims]}]","[]","[]",0,0,1,0,0,9,19,=J25+K25+L25+M25+N25,=O25+P25,=((Q25/(R25+R24)))*100,,3,,"[]"
2011-07-22,25,acba9c1aea54e6cf04038bd9ebee56a96881529c,c05f1c3710dbaa6c6b7399efa28bb8cabe79c1e0,"[]","[]","[]","[]","[]",0,0,0,0,0,9,19,=J26+K26+L26+M26+N26,=O26+P26,=((Q26/(R26+R25)))*100,,3,,"[]"
2011-07-22,26,b7a3f472222987d470e3ab72efb4ce1f303737a8,acba9c1aea54e6cf04038bd9ebee56a96881529c,"[org.apache.hadoop.sqoop.tool,org.apache.hadoop.sqoop.cli]","[]","[{name:org.apache.hadoop.sqoop,added:[org.apache.hadoop.sqoop.tool]}]","[{name:org.apache.hadoop.sqoop.hive,removed:[org.apache.hadoop.sqoop]},{name:org.apache.hadoop.sqoop,removed:[org.apache.hadoop.sqoop.shims,org.apache.hadoop.sqoop.hive,org.apache.hadoop.sqoop.orm]}]","[]",2,0,1,4,0,11,22,=J27+K27+L27+M27+N27,=O27+P27,=((Q27/(R27+R26)))*100,,1,,"[]"
2011-07-22,27,e926bf1fe01e02399240490832b9c892f1ea2e0f,b7a3f472222987d470e3ab72efb4ce1f303737a8,"[]","[]","[{name:org.apache.hadoop.sqoop.lib,added:[org.apache.hadoop.sqoop.io]}]","[]","[]",0,0,1,0,0,11,23,=J28+K28+L28+M28+N28,=O28+P28,=((Q28/(R28+R27)))*100,,3,,"[]"
