date,row,commit,comparedTo,packages added,packages removed,dependency added,dependency removed,class moved,number of packages added,number of packages removed,number of dependencies added,number of dependencies removed,number of moved classes,number of packages,number of dependencies,MTO,A0,A2A,A2A Copy,gap,issueId,prNumber
2014-12-08,2615,81a6dc58df78aeade00e25abe6b3f0ddece76d68,8d08a432757f277f71e8c6adf1c5726433573245,"[]","[]","[]","[]","[]",0,0,0,0,0,84,430,=J2616+K2616+L2616+M2616+N2616,=O2616+P2616,=((Q2616/(R2616+R2615)))*100,,0,PDFBOX-2546,"[]"
2014-12-09,2616,31f338a890fe9beebfd19d86808b7632627b11c0,81a6dc58df78aeade00e25abe6b3f0ddece76d68,"[]","[]","[]","[]","[]",0,0,0,0,0,84,430,=J2617+K2617+L2617+M2617+N2617,=O2617+P2617,=((Q2617/(R2617+R2616)))*100,,0,PDFBOX-2550,"[]"
2014-12-09,2617,d826e730e26828b04b131b85d1682e3d35ac3973,31f338a890fe9beebfd19d86808b7632627b11c0,"[]","[]","[]","[]","[]",0,0,0,0,0,84,430,=J2618+K2618+L2618+M2618+N2618,=O2618+P2618,=((Q2618/(R2618+R2617)))*100,,0,PDFBOX-2505,"[]"
2014-12-10,2618,66fa7968b40eec2ec2374577a283de9a7488eecb,d826e730e26828b04b131b85d1682e3d35ac3973,"[]","[]","[]","[]","[]",0,0,0,0,0,84,430,=J2619+K2619+L2619+M2619+N2619,=O2619+P2619,=((Q2619/(R2619+R2618)))*100,,0,PDFBOX-2552,"[]"
2014-12-11,2619,720809ca0d7a40dcd49da616dbc53c6c62b5a8b6,66fa7968b40eec2ec2374577a283de9a7488eecb,"[]","[]","[]","[]","[]",0,0,0,0,0,84,430,=J2620+K2620+L2620+M2620+N2620,=O2620+P2620,=((Q2620/(R2620+R2619)))*100,,0,PDFBOX-2552,"[]"
2014-12-11,2620,d752a82292cd668e907c1df15b7551336de79795,720809ca0d7a40dcd49da616dbc53c6c62b5a8b6,"[]","[]","[]","[]","[]",0,0,0,0,0,84,430,=J2621+K2621+L2621+M2621+N2621,=O2621+P2621,=((Q2621/(R2621+R2620)))*100,,0,PDFBOX-2552,"[]"
2014-12-11,2621,4f800248a13ee8cc5883b4d9f018dc66cb5627d6,d752a82292cd668e907c1df15b7551336de79795,"[]","[]","[]","[]","[]",0,0,0,0,0,84,430,=J2622+K2622+L2622+M2622+N2622,=O2622+P2622,=((Q2622/(R2622+R2621)))*100,,0,PDFBOX-2552,"[]"
2014-12-11,2622,7dc94ff180b10efd1baff8fc8fb3c8c5f748136d,4f800248a13ee8cc5883b4d9f018dc66cb5627d6,"[]","[]","[]","[]","[]",0,0,0,0,0,84,430,=J2623+K2623+L2623+M2623+N2623,=O2623+P2623,=((Q2623/(R2623+R2622)))*100,,0,PDFBOX-2552,"[]"
2014-12-11,2623,4a335205d74fcefe172b72bf11e4e04f6863b1cb,7dc94ff180b10efd1baff8fc8fb3c8c5f748136d,"[]","[]","[]","[]","[]",0,0,0,0,0,84,430,=J2624+K2624+L2624+M2624+N2624,=O2624+P2624,=((Q2624/(R2624+R2623)))*100,,0,PDFBOX-2552,"[]"
2014-12-12,2624,564760dd80129f854a0c3154d8c66b880ea5956b,4a335205d74fcefe172b72bf11e4e04f6863b1cb,"[]","[org.apache.pdfbox.encoding]","[]","[]","[]",0,1,0,0,0,83,430,=J2625+K2625+L2625+M2625+N2625,=O2625+P2625,=((Q2625/(R2625+R2624)))*100,,0,PDFBOX-1242,"[]"
2014-12-12,2625,f5d95cb3e584f38543df20b6270fe9cca047266d,564760dd80129f854a0c3154d8c66b880ea5956b,"[]","[]","[]","[]","[]",0,0,0,0,0,83,430,=J2626+K2626+L2626+M2626+N2626,=O2626+P2626,=((Q2626/(R2626+R2625)))*100,,0,PDFBOX-2561,"[]"
2014-12-12,2626,0d392fd58df241933446f6004197c920cd21fdf2,f5d95cb3e584f38543df20b6270fe9cca047266d,"[]","[]","[]","[]","[]",0,0,0,0,0,83,430,=J2627+K2627+L2627+M2627+N2627,=O2627+P2627,=((Q2627/(R2627+R2626)))*100,,0,PDFBOX-2559,"[]"
2014-12-12,2627,ceeeae6042e1d17f599ec3827bc7dbe3f436a57b,0d392fd58df241933446f6004197c920cd21fdf2,"[]","[]","[]","[]","[]",0,0,0,0,0,83,430,=J2628+K2628+L2628+M2628+N2628,=O2628+P2628,=((Q2628/(R2628+R2627)))*100,,0,PDFBOX-2557,"[]"
2014-12-12,2628,3ff1afefea573ad3bf04097d70829c78cce4b5b6,ceeeae6042e1d17f599ec3827bc7dbe3f436a57b,"[]","[]","[{name:org.apache.pdfbox.pdmodel.edit,added:[org.apache.pdfbox.pdmodel.font]}]","[]","[]",0,0,1,0,0,83,431,=J2629+K2629+L2629+M2629+N2629,=O2629+P2629,=((Q2629/(R2629+R2628)))*100,,0,PDFBOX-922,"[]"
2014-12-12,2629,c244fed089f0aefae0b18f329cacba12fbc59913,3ff1afefea573ad3bf04097d70829c78cce4b5b6,"[]","[]","[]","[]","[]",0,0,0,0,0,83,431,=J2630+K2630+L2630+M2630+N2630,=O2630+P2630,=((Q2630/(R2630+R2629)))*100,,0,PDFBOX-2524,"[]"
2014-12-12,2630,91b40abe8444beca5524c0bfdd7ac9def493a475,c244fed089f0aefae0b18f329cacba12fbc59913,"[]","[]","[]","[]","[]",0,0,0,0,0,83,431,=J2631+K2631+L2631+M2631+N2631,=O2631+P2631,=((Q2631/(R2631+R2630)))*100,,0,PDFBOX-2524,"[]"
